"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","GDP","TOT","USD_CAP","A","2015",49953.900584,
"AUT","GDP","TOT","USD_CAP","A","2016",51636.986695,
"BEL","GDP","TOT","USD_CAP","A","2015",45728.923263,
"BEL","GDP","TOT","USD_CAP","A","2016",47372.602502,
"CZE","GDP","TOT","USD_CAP","A","2015",33701.384,
"CZE","GDP","TOT","USD_CAP","A","2016",35234.017075,
"DNK","GDP","TOT","USD_CAP","A","2015",49071.299718,
"DNK","GDP","TOT","USD_CAP","A","2016",50685.430829,
"FIN","GDP","TOT","USD_CAP","A","2015",42143.519093,
"FIN","GDP","TOT","USD_CAP","A","2016",43737.684839,
"FRA","GDP","TOT","USD_CAP","A","2015",40861.100567,
"FRA","GDP","TOT","USD_CAP","A","2016",42029.852327,"P"
"DEU","GDP","TOT","USD_CAP","A","2015",47979.241412,
"DEU","GDP","TOT","USD_CAP","A","2016",49921.108137,
"GRC","GDP","TOT","USD_CAP","A","2015",26902.327613,"P"
"GRC","GDP","TOT","USD_CAP","A","2016",27273.87303,"P"
"HUN","GDP","TOT","USD_CAP","A","2015",26356.313717,
"HUN","GDP","TOT","USD_CAP","A","2016",26851.624935,
"IRL","GDP","TOT","USD_CAP","A","2015",69050.407629,
"IRL","GDP","TOT","USD_CAP","A","2016",71020.497599,
"ITA","GDP","TOT","USD_CAP","A","2015",36836.394875,
"ITA","GDP","TOT","USD_CAP","A","2016",39043.406171,
"LUX","GDP","TOT","USD_CAP","A","2015",102817.285634,
"LUX","GDP","TOT","USD_CAP","A","2016",104702.347523,
"NLD","GDP","TOT","USD_CAP","A","2015",50328.584541,
"NLD","GDP","TOT","USD_CAP","A","2016",51351.572469,"P"
"POL","GDP","TOT","USD_CAP","A","2015",26528.815751,
"POL","GDP","TOT","USD_CAP","A","2016",27405.564854,
"PRT","GDP","TOT","USD_CAP","A","2015",29684.636594,
"PRT","GDP","TOT","USD_CAP","A","2016",31041.873367,
"SVK","GDP","TOT","USD_CAP","A","2015",29699.535053,
"SVK","GDP","TOT","USD_CAP","A","2016",30895.954207,
"ESP","GDP","TOT","USD_CAP","A","2015",35054.605837,
"ESP","GDP","TOT","USD_CAP","A","2016",36742.40643,"P"
"SWE","GDP","TOT","USD_CAP","A","2015",48436.904818,
"SWE","GDP","TOT","USD_CAP","A","2016",49083.989701,
"TUR","GDP","TOT","USD_CAP","A","2015",25986.210937,"E"
"TUR","GDP","TOT","USD_CAP","A","2016",26676.645998,"E"
"GBR","GDP","TOT","USD_CAP","A","2015",42055.079927,
"GBR","GDP","TOT","USD_CAP","A","2016",42942.903859,
"EST","GDP","TOT","USD_CAP","A","2015",29259.841707,
"EST","GDP","TOT","USD_CAP","A","2016",30894.950595,
"SVN","GDP","TOT","USD_CAP","A","2015",31627.255412,
"SVN","GDP","TOT","USD_CAP","A","2016",33240.729755,
"EU28","GDP","TOT","USD_CAP","A","2015",38714.866267,
"EU28","GDP","TOT","USD_CAP","A","2016",40209.650149,
"OECD","GDP","TOT","USD_CAP","A","2015",41356.121437,"E"
"OECD","GDP","TOT","USD_CAP","A","2016",42483.581958,"E"
"LVA","GDP","TOT","USD_CAP","A","2015",24726.183359,
"LVA","GDP","TOT","USD_CAP","A","2016",25842.558023,
"LTU","GDP","TOT","USD_CAP","A","2015",28910.313856,
"LTU","GDP","TOT","USD_CAP","A","2016",30299.959291,
"BGR","GDP","TOT","USD_CAP","A","2015",18186.450576,
"BGR","GDP","TOT","USD_CAP","A","2016",19500.357176,
"HRV","GDP","TOT","USD_CAP","A","2015",23019.783795,
"HRV","GDP","TOT","USD_CAP","A","2016",24542.816917,
"CYP","GDP","TOT","USD_CAP","A","2015",31578.294186,
"CYP","GDP","TOT","USD_CAP","A","2016",33682.404294,"P"
"MLT","GDP","TOT","USD_CAP","A","2015",36117.8323,
"MLT","GDP","TOT","USD_CAP","A","2016",38308.321883,
"ROU","GDP","TOT","USD_CAP","A","2015",21627.160758,
"ROU","GDP","TOT","USD_CAP","A","2016",23863.058219,
