LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUT,GDP,TOT,USD_CAP,A,2016,51636.9867,
BEL,GDP,TOT,USD_CAP,A,2016,47372.6025,
CZE,GDP,TOT,USD_CAP,A,2016,35234.01708,
DNK,GDP,TOT,USD_CAP,A,2016,50685.43083,
FIN,GDP,TOT,USD_CAP,A,2016,43737.68484,
FRA,GDP,TOT,USD_CAP,A,2016,42029.85233,P
DEU,GDP,TOT,USD_CAP,A,2016,49921.10814,
GRC,GDP,TOT,USD_CAP,A,2016,27273.87303,P
HUN,GDP,TOT,USD_CAP,A,2016,26851.62494,
IRL,GDP,TOT,USD_CAP,A,2016,71020.4976,
ITA,GDP,TOT,USD_CAP,A,2016,39043.40617,
LUX,GDP,TOT,USD_CAP,A,2016,104702.3475,
NLD,GDP,TOT,USD_CAP,A,2016,51351.57247,P
POL,GDP,TOT,USD_CAP,A,2016,27405.56485,
PRT,GDP,TOT,USD_CAP,A,2016,31041.87337,
SVK,GDP,TOT,USD_CAP,A,2016,30895.95421,
ESP,GDP,TOT,USD_CAP,A,2016,36742.40643,P
SWE,GDP,TOT,USD_CAP,A,2016,49083.9897,
TUR,GDP,TOT,USD_CAP,A,2016,26676.646,E
GBR,GDP,TOT,USD_CAP,A,2016,42942.90386,
EST,GDP,TOT,USD_CAP,A,2016,30894.9506,
SVN,GDP,TOT,USD_CAP,A,2016,33240.72976,
EU28,GDP,TOT,USD_CAP,A,2016,40209.65015,
OECD,GDP,TOT,USD_CAP,A,2016,42483.58196,E
LVA,GDP,TOT,USD_CAP,A,2016,25842.55802,
LTU,GDP,TOT,USD_CAP,A,2016,30299.95929,
BGR,GDP,TOT,USD_CAP,A,2016,19500.35718,
HRV,GDP,TOT,USD_CAP,A,2016,24542.81692,
CYP,GDP,TOT,USD_CAP,A,2016,33682.40429,P
MLT,GDP,TOT,USD_CAP,A,2016,38308.32188,
ROU,GDP,TOT,USD_CAP,A,2016,23863.05822,
